I'd like [item],0
Could I get [item],0
Can I have [item],0
I'll get [item],0
I'll take [item],0
Can I get [item],0
I'd like [item] with an extra [customisable],1
Could I get [item] with more [customisable],1
Can I have [item] with another [customisable],1
I'll get [item] with an extra [customisable],1
I'll take [item] with more [customisable],1
Can I get [item] with another [customisable],1
I'd like [item] with no [customisable],2
Could I get [item] leave out [customisable],2
Can I have [item] take out [customisable],2
I'll get [item] I don't want any [customisable],2
I'll take [item] without [customisable],2
Can I get [item] leave out [customisable],2
I'd like [item] with only [customisable],3
Could I get [item] with [customisable],3
Can I have [item] with just [customisable],3
I'll get [item] with only [customisable],3
I'll take [item] with [customisable],3
Can I get [item] with just [customisable],3
I'd like [variant] [item],4
Could I get [variant] [item],4
Can I have [variant] [item],4
I'll get [variant] [item],4
I'll take [variant] [item],4
Can I get [variant] [item],4
I'd like [variant] [item] with an extra [customisable],5
Could I get [variant] [item] with more [customisable],5
Can I have [variant] [item] with another [customisable],5
I'll get [variant] [item] with an extra [customisable],5
I'll take [variant] [item] with more [customisable],5
Can I get [variant] [item] with another [customisable],5
I'd like [variant] [item] with no [customisable],6
Could I get [variant] [item] leave out [customisable],6
Can I have [variant] [item] take out [customisable],6
I'll get [variant] [item] I don't want any [customisable],6
I'll take [variant] [item] without [customisable],6
Can I get [variant] [item] leave out [customisable],6
I'd like [variant] [item] with only [customisable],7
Could I get [variant] [item] with [customisable],7
Can I have [variant] [item] with just [customisable],7
I'll get [variant] [item] with only [customisable],7
I'll take [variant] [item] with [customisable],7
Can I get [variant] [item] with just [customisable],7
I'd like [size] [item],8
Could I get [size] [item],8
Can I have [size] [item],8
I'll get [size] [item],8
I'll take [size] [item],8
Can I get [size] [item],8
I'd like [size] [item] with an extra [customisable],9
Could I get [size] [item] with more [customisable],9
Can I have [size] [item] with another [customisable],9
I'll get [size] [item] with an extra [customisable],9
I'll take [size] [item] with more [customisable],9
Can I get [size] [item] with another [customisable],9
I'd like [size] [item] with no [customisable],10
Could I get [size] [item] leave out [customisable],10
Can I have [size] [item] take out [customisable],10
I'll get [size] [item] I don't want any [customisable],10
I'll take [size] [item] without [customisable],10
Can I get [size] [item] leave out [customisable],10
I'd like [size] [item] with only [customisable],11
Could I get [size] [item] with [customisable],11
Can I have [size] [item] with just [customisable],11
I'll get [size] [item] with only [customisable],11
I'll take [size] [item] with [customisable],11
Can I get [size] [item] with just [customisable],11
I'd like [size] [variant] [item],12
Could I get [size] [variant] [item],12
Can I have [size] [variant] [item],12
I'll get [size] [variant] [item],12
I'll take [size] [variant] [item],12
Can I get [size] [variant] [item],12
I'd like [size] [variant] [item] with an extra [customisable],13
Could I get [size] [variant] [item] with more [customisable],13
Can I have [size] [variant] [item] with another [customisable],13
I'll get [size] [variant] [item] with an extra [customisable],13
I'll take [size] [variant] [item] with more [customisable],13
Can I get [size] [variant] [item] with another [customisable],13
I'd like [size] [variant] [item] with no [customisable],14
Could I get [size] [variant] [item] leave out [customisable],14
Can I have [size] [variant] [item] take out [customisable],14
I'll get [size] [variant] [item] I don't want any [customisable],14
I'll take [size] [variant] [item] without [customisable],14
